Action,Timestamp,Price,BTC Balance,USD Balance,Position Size,Stop Loss
Buy,2024-07-18 05:45:00,64755.04,0.2277245234778751,0.0,0.25293309810083936,64566.36142857143
Sell,2024-07-18 07:55:00,64668.0,0.0,14726.489484267227,0.25293309810083936,0.0
Buy,2024-07-18 08:50:00,64895.24,0.22692711336404994,0.0,0.2839893456982898,64727.38857142857
Sell,2024-07-18 10:10:00,64660.2,0.0,14673.152535542142,0.2839893456982898,0.0
Buy,2024-07-18 12:00:00,64832.01,0.22632573840518197,0.0,0.30876979481922207,64678.17
Sell,2024-07-18 13:45:00,64578.43,0.0,14615.760854797356,0.30876979481922207,0.0
Buy,2024-07-18 20:50:00,63733.47,0.2293262998985832,0.0,0.22545706140293922,63523.65
Sell,2024-07-19 00:15:00,63704.33,0.0,14609.078286418311,0.22545706140293922,0.0
Buy,2024-07-19 02:05:00,63910.79,0.2285854749474746,0.0,0.19728282955372767,63671.088571428576
Sell,2024-07-19 07:10:00,63950.0,0.0,14618.041122891002,0.19728282955372767,0.0
Buy,2024-07-19 10:20:00,64017.27,0.22834527499987117,0.0,0.20450195949094066,63785.93571428571
Sell,2024-07-19 22:50:00,66658.5,0.0,15221.153513578913,0.20450195949094066,0.0
Buy,2024-07-20 03:05:00,66739.81,0.22806707890805972,0.0,0.32048117303677487,66587.98
Sell,2024-07-20 04:05:00,66525.0,0.0,15172.162424358672,0.32048117303677487,0.0
Buy,2024-07-20 04:15:00,66664.0,0.22759154002698115,0.0,0.3621719814558684,66530.12285714285
Sell,2024-07-20 05:10:00,66574.99,0.0,15151.90450138087,0.3621719814558684,0.0
Buy,2024-07-20 06:40:00,66665.87,0.22728128353205126,0.0,0.5221383842519839,66573.16285714284
Sell,2024-07-20 08:30:00,66526.01,0.0,15120.116941066077,0.5221383842519839,0.0
Buy,2024-07-20 09:35:00,66707.07,0.22666438416596735,0.0,0.4410003849473643,66597.72
Sell,2024-07-20 10:20:00,66534.03,0.0,15080.894936029996,0.4410003849473643,0.0
Buy,2024-07-20 14:05:00,66565.32,0.22655783726465964,0.0,0.3104171234752934,66410.58428571429
Sell,2024-07-20 21:05:00,66911.8,0.0,15159.392695485454,0.3104171234752934,0.0
Buy,2024-07-20 23:45:00,67170.0,0.22568695393010949,0.0,0.31590844496652265,67017.10285714286
Sell,2024-07-21 00:00:00,67102.0,0.0,15144.045982618207,0.31590844496652265,0.0
Buy,2024-07-21 00:10:00,67216.0,0.22530418326913543,0.0,0.4698000520653469,67113.30142857143
Sell,2024-07-21 00:35:00,67044.0,0.0,15105.293663095916,0.4698000520653469,0.0
Buy,2024-07-21 01:30:00,67200.02,0.2247810888016985,0.0,0.39300792426911224,67077.76857142858
Sell,2024-07-21 03:55:00,67171.33,0.0,15098.844693658195,0.39300792426911224,0.0
Buy,2024-07-21 09:25:00,66870.09,0.2257936948142016,0.0,0.45123862827933736,66763.67714285715
Sell,2024-07-21 10:55:00,66798.87,0.0,15082.763666713527,0.45123862827933736,0.0
Buy,2024-07-21 12:05:00,66962.5,0.22524194387475865,0.0,0.5345281560994862,66872.81857142856
Sell,2024-07-21 13:30:00,66715.92,0.0,15027.223508192888,0.5345281560994862,0.0
Buy,2024-07-21 14:20:00,67132.01,0.2238458748396315,0.0,0.23118248195085483,66926.07857142856
Sell,2024-07-21 17:55:00,66648.01,0.0,14918.882104770508,0.23118248195085483,0.0
Buy,2024-07-21 19:25:00,67317.81,0.22161864898413225,0.0,0.1008259903949969,66848.40714285715
Sell,2024-07-22 01:30:00,67831.98,0.0,15032.831765518678,0.1008259903949969,0.0
Buy,2024-07-22 02:35:00,68154.12,0.22057113737978978,0.0,0.2112701429656531,67929.49
Sell,2024-07-22 03:40:00,67901.34,0.0,14977.075793411814,0.2112701429656531,0.0
Buy,2024-07-22 10:15:00,67462.0,0.22200758639547913,0.0,0.314323519401734,67311.44142857143
Sell,2024-07-22 11:25:00,67358.0,0.0,14953.987004426683,0.314323519401734,0.0
Buy,2024-07-22 11:30:00,67436.0,0.2217508008248811,0.0,0.34730839191253915,67299.97571428571
